Model,CV MAE,CV RMSE,CV R²
Gradient Boosting,15407.168363047884,25963.51307906486,0.8845579673385344
HistGradientBoosting,16961.260615986037,28428.8212357168,0.8628764014719659
XGBoost,17198.61328125,28466.3953125,0.862811827659607
Extra Trees,16884.683025127473,28812.912088742403,0.8584175695095662
Random Forest,17619.833644638864,29353.3000670131,0.8535317392409659
Ridge,18064.980898637063,31978.74077807002,0.823370177614583
ElasticNet,19556.829592303147,34528.45401898256,0.7970674973688293
Lasso,18675.480356997556,37827.86873003701,0.7466585398996821
Linear Regression,18907.326746776416,39600.40963375168,0.7140698238481624
Decision Tree,26351.730266681338,42267.135901388014,0.697343027683327
KNN,29450.79104801732,48677.65800170932,0.5959639293388899
SVR,54585.35872156,78859.56955104557,-0.045875782602218786
